id,parent id,block type,proposal timestamp,finalization timestamp,depth,finalized,transactions
e69c2,Genesis,tree,1.489114180123583,None,1,False,
dfd79,e69c2,tree,5.000199811338608,None,2,False,b60099d307;e5a6bf61e5;38eb895271;2f1128337e;459e07533c
72f95,e69c2,tree,5.5504882128918025,None,2,False,b60099d307;e5a6bf61e5;38eb895271;2f1128337e;459e07533c;206fee32a7
89652,dfd79,tree,7.166912374837539,None,3,False,206fee32a7;cc38578065;020d212a18;46e82fa382;4bec7cad12
f623b,89652,tree,8.870963528239791,None,4,False,a78d5fac1e;fdde869b26;51987e55c9
8e965,f623b,tree,11.963239611809938,None,5,False,ff0b7283ea
1ada9,f623b,tree,12.618185386083946,None,5,False,ff0b7283ea
911aa,f623b,tree,13.208488683373343,None,5,False,ff0b7283ea
8474b,8e965,tree,17.577370594172976,None,6,False,208c6b24b0
fd22b,8e965,tree,18.17278035603161,None,6,False,208c6b24b0
12fed,8474b,tree,22.60917983993815,None,7,False,96230f3346;358779cbb9;115a9cf066;f36fb0e957;bca9086205;f15bb44f64;01d755bb4c
05b3d,12fed,tree,26.303889996356663,None,8,False,6833012f4b;9c7861aa7f;36a9283ba1;548679db48
ba12c,12fed,tree,27.253379397522533,None,8,False,6833012f4b;9c7861aa7f;36a9283ba1;548679db48
d9f5a,05b3d,tree,29.894982101107725,None,9,False,93716b34a5;f3a4737426;60bd6cffab;a223d2658d
cab2d,d9f5a,tree,41.15326340310154,None,10,False,6f0fafd9c6;c675a1c53d;821a437392;f76928166b;c558b19495;5982328c5a;379b22a332;7fac32e878;3f77d073d1;471c55563b;3cf5d62e06;8628f310f7
1e93f,d9f5a,tree,41.55661586132271,None,10,False,6f0fafd9c6;c675a1c53d;821a437392;f76928166b;c558b19495;5982328c5a;379b22a332;7fac32e878;3f77d073d1;471c55563b;3cf5d62e06;8628f310f7
d47b1,d9f5a,tree,42.845941191521874,None,10,False,6f0fafd9c6;c675a1c53d;821a437392;f76928166b;c558b19495;5982328c5a;379b22a332;7fac32e878;3f77d073d1;471c55563b;3cf5d62e06;8628f310f7
04bf8,cab2d,tree,48.32213285893929,None,11,False,ad27b6c4e9;4ec30c03a9;ac204ab32e;bb7d5c637f;8c6a118817;6d22ddfa2a;b4688b2f8a;75918638af;64afd9f4e4;e70ba30a9a;49bf585b98
b2dbe,cab2d,tree,50.58539775700176,None,11,False,ad27b6c4e9;4ec30c03a9;ac204ab32e;bb7d5c637f;8c6a118817;6d22ddfa2a;b4688b2f8a;75918638af;64afd9f4e4;e70ba30a9a;49bf585b98
7a3e7,04bf8,tree,54.04951654895033,None,12,False,c30a79d397;0d838bff20;938a2b7f74;da3ec09f9e;05fc3f706b;a35ea3cda5
4658e,7a3e7,tree,58.81172819846921,None,13,False,c4441690fb;3b07d69936;4af255e889;f757319630
1a527,7a3e7,tree,59.46717696006679,None,13,False,c4441690fb;3b07d69936;4af255e889;f757319630;0ceb6cba87
1c093,4658e,tree,64.77429366599858,None,14,False,fb9a735bcd;6389c41a3d;0ceb6cba87;c91fc77411;9cddb39b69;d668a24682;518d39fabb;2d2332e7bb;22c186af39;5c970019df
af426,4658e,tree,64.8080533458068,None,14,False,0ceb6cba87;c91fc77411;9cddb39b69;fb9a735bcd;6389c41a3d;d668a24682;518d39fabb;2d2332e7bb;22c186af39;5c970019df
781be,1c093,tree,67.3500648814706,None,15,False,00dfbb626c;ed71ec6759;24125de669
40639,781be,tree,68.07999367621109,None,16,False,3860d49fe2
73d5a,781be,tree,68.78698245429194,None,16,False,3860d49fe2
099d4,40639,tree,75.41629997790822,None,17,False,a07e981e71;b71e7ce2e8;011ea366f7;587ad44e6c;7a7d456012;117ee7ddd4;85d077f131;0ec6bf0664;da6941dde6;0100402f03
f76a0,40639,tree,77.48272513362049,None,17,False,a07e981e71;b71e7ce2e8;011ea366f7;587ad44e6c;7a7d456012;117ee7ddd4;85d077f131;0ec6bf0664;da6941dde6;0100402f03
96663,099d4,tree,83.36044054086824,None,18,False,48275bf8ad;7672ecfe24;273051ddb6;d8340a4baf;430ccdcaf6;a652875edf;ad725670a5;1fb0c18e48
2c7f4,96663,tree,84.1503709255844,None,19,False,70dcdda3eb
fc223,96663,tree,84.80288377442712,None,19,False,70dcdda3eb
8e6d6,96663,tree,86.21243026668529,None,19,False,70dcdda3eb
33a8a,2c7f4,tree,89.2098180174053,None,20,False,4ddd1a4302;59c3821f08;c67a89af37;48b554c7af;e2bdbe99f2;e7ed5269df;a4df1fe757
60ef0,2c7f4,tree,89.37396326138219,None,20,False,4ddd1a4302;59c3821f08;c67a89af37;48b554c7af;e2bdbe99f2;e7ed5269df;a4df1fe757
c5e18,2c7f4,tree,90.12738230304433,None,20,False,4ddd1a4302;59c3821f08;c67a89af37;48b554c7af;e2bdbe99f2;e7ed5269df;a4df1fe757
80f7e,2c7f4,tree,90.65299435587606,None,20,False,4ddd1a4302;59c3821f08;c67a89af37;48b554c7af;e2bdbe99f2;e7ed5269df;a4df1fe757
4bd63,2c7f4,tree,91.03696346585353,None,20,False,4ddd1a4302;59c3821f08;c67a89af37;48b554c7af;e2bdbe99f2;e7ed5269df;a4df1fe757
4fc37,33a8a,tree,95.90224270888272,None,21,False,a52792c274;9fd7fcf42b;b0a54e1b23;c810ffa70f
4bd87,4fc37,tree,100.59868119201535,None,22,False,ef0a3a7f19;6850afa797;e215b808a9;f3b0ab65d6
261a9,4bd87,tree,103.89648217730497,None,23,False,2c41122554;c9d9b182a5;abcef2f756;a6df96089a;2c659bbf46
442f2,261a9,tree,107.10300148795272,None,24,False,2a45adf380;3c94caa126;2386d90e4b;0a6b88a294
75ea4,442f2,tree,108.32395676755253,None,25,False,ff391f305d;3284333a66
d7057,75ea4,tree,109.58443190883175,None,26,False,94889fe930;a799ea3797
6b3ee,75ea4,tree,110.2820668767254,None,26,False,94889fe930;a799ea3797
d3db7,75ea4,tree,111.29396830704387,None,26,False,94889fe930;a799ea3797
e9e6b,d7057,tree,114.08512512572597,None,27,False,be9235da46;9cf4d91b38
b9adc,e9e6b,tree,115.26948417510636,None,28,False,
210c1,b9adc,tree,115.99247135221937,None,29,False,
10761,b9adc,tree,116.03295131061788,None,29,False,
59aa2,b9adc,tree,118.22255281141732,None,29,False,
cd917,210c1,tree,121.24604988930362,None,30,False,13efedb6fb;94eb3ee5ec;3e638f4d4e;b9e945105d;0012f97d65
1854f,210c1,tree,122.59285388487558,None,30,False,13efedb6fb;94eb3ee5ec;3e638f4d4e;b9e945105d;0012f97d65
bef2d,210c1,tree,122.68952694543387,None,30,False,13efedb6fb;94eb3ee5ec;3e638f4d4e;b9e945105d;0012f97d65
52100,210c1,tree,123.37905284214882,None,30,False,13efedb6fb;94eb3ee5ec;3e638f4d4e;b9e945105d;0012f97d65
1919e,cd917,tree,126.26359475653992,None,31,False,389d71baf3;dc97e63609;798e049f64
33895,1919e,tree,135.32465639823536,None,32,False,82c4bf9072;03283dbca3;37b77d602b;24c43b39b0;07409a5081;d198ff7656;a9d9025011;f92863c00d
43cc6,33895,tree,142.5639716258248,None,33,False,052d0ff2ca;e05e64386c;cd16f76ce2;dfe40ac497
0261b,43cc6,tree,148.9889808316655,None,34,False,d9221bbad2;84a8c311b8;5089ade4af;43a7809eb6;85df86cea5;946a63eefe
